Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00305959649786725,0.00454961454986187,0.105660155454297,0,0,0,5.92111553948475,0.0360816657026523,0.000109748926438046,-0.00115291133351405,0.0847359692740177,-0.000235574660264786,0.0996112305699905,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/base_link.STL,,baselink1-2;baselink2-2,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0541783685970668,-0.00449184537584119,5.12814776894506E-07,0,0,0,0.254829941963028,0.000342734340345943,6.32058491910165E-07,2.65667640363071E-09,0.000474793130506157,-1.18600122307226E-09,0.000223960128071139,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link1.STL,,zuoqian111-1,坐标系1,基准轴1,joint1,revolute,0.2258,0.075,0.10485,0,0,0,base_link,-1,0,0,220,21.8,-0.523,0.872,,,,,,,,
link2,-0.0485645065201138,0.0772551444469416,-0.0396807446792049,0,0,0,0.506418035809433,0.00252339121890774,7.59966506620738E-05,-0.00218095687282412,0.00554158874087187,5.54041727269313E-05,0.00311285690569422,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link2.STL,,zuoqian222-1,坐标系2,基准轴2,joint2,revolute,0.0695,0.0305,0,0,0,0,link1,0,1,0,220,21.8,-2.95,2.95,,,,,,,,
link3,0.127829540865175,-0.0239961460582971,-0.123201215280907,0,0,0,0.973215342164131,0.00684109857020258,1.3515514566559E-07,0.00698739076179895,0.014570953582337,-1.02659565058305E-07,0.00793733832462597,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link3.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link3.STL,,左前小腿111-1,坐标系3,基准轴3,joint3,revolute,-0.22754,0.12424,-0.225,0,0,0,link2,0,1,0,360,13.25,-0.261,0.872,,,,,,,,
link13,-0.000151340892966838,-0.00812410383376305,-0.0187661363518736,0,0,0,0.0973767971057662,2.66855508561758E-05,-4.19857512283374E-10,2.33562034469479E-07,5.18537009645559E-05,-1.04189064989844E-09,5.74577966015846E-05,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link13.STL,1,1,1,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link13.STL,,左前足111-1,坐标系13,基准轴13,joint13,fixed,0.22404,-0.0165,-0.22848,0,0,0,link3,0,0,0,,,,,,,,,,,,
link4,0.0545586657161386,0.00315629695769994,-5.26095487597246E-07,0,0,0,0.248391161382642,0.000342220807551541,-6.69542136462896E-07,-2.65647475169569E-09,0.000471045191497255,-1.18732360738937E-09,0.000220058867941381,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link4.STL,,youqian111-1,坐标系4,基准轴4,joint4,revolute,0.2258,-0.075,0.10485,0,0,0,base_link,-1,0,0,220,21.8,-0.523,0.872,,,,,,,,
link5,-0.0485648677372153,-0.0769700573408968,-0.0396824270421374,0,0,0,0.506418166721667,0.00252341534202624,-7.59976098376827E-05,-0.0021809715084124,0.00554161206409464,-5.53925415447427E-05,0.00311285582265654,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link5.STL,,youqian222-1,坐标系5,基准轴5,joint5,revolute,0.0695,-0.0305,0,0,0,0,link4,0,-1,0,220,21.8,-2.95,2.95,,,,,,,,
link6,0.127829544709688,0.0240038539362395,-0.1232012328792,0,0,0,0.97321534161996,0.006841098586366,1.35154496474642E-07,0.00698739075878365,0.0145709535702645,-1.02659103588794E-07,0.00793733826576184,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link6.STL,0.8,0.8,0.8,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link6.STL,,右前小腿111-1,坐标系6,基准轴6,joint6,revolute,-0.22754,-0.124,-0.225,0,0,0,link5,0,-1,0,360,13.25,-0.261,0.872,,,,,,,,
link14,-0.000151340940861453,-0.00812410383376311,-0.0187661363514885,0,0,0,0.0973767971057541,2.66855508573692E-05,-4.19857515623291E-10,2.33562113006591E-07,5.18537009645411E-05,-1.04189064936771E-09,5.74577966003788E-05,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link14.STL,1,1,1,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link14.STL,,右前足111-1,坐标系14,基准轴14,joint14,fixed,0.22404,0.0315,-0.22848,0,0,0,link6,0,0,0,,,,,,,,,,,,
link7,-0.0541783686108153,-0.00449184538539864,-5.12832855339387E-07,0,0,0,0.254829941820809,0.000342734340080225,-6.3205851829483E-07,2.6566181832193E-09,0.000474793130238073,1.1860677802989E-09,0.000223960128019983,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link7.STL,1,1,1,1,0,0,0,0,0,0,package://robotdog-v0.1-URDF_v0.12/meshes/link7.STL,,左后111-1,坐标系7,基准轴7,joint7,revolute,-0.2262,0.075,0.10485,0,0,0,base_link,1,0,0,220,21.8,-0.523,0.872,,,,,,,,
